model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
ReLU+Drop0.7,relu,0.7,80,128,0.4589860439300537,0.841866672039032,0.3881467282772064,0.8597000241279602,-0.017833352088928223,72.59095740000339
Sigmoid,sigmoid,0.0,80,256,0.5401501059532166,0.8070166707038879,0.5613223910331726,0.7986000180244446,0.00841665267944336,55.05140129999927
ReLU+Drop0.8,relu,0.8,80,128,0.6684535145759583,0.7388499975204468,0.5438863635063171,0.781000018119812,-0.042150020599365234,72.1648789000028
ReLU+Drop0.9,relu,0.9,80,128,1.1084339618682861,0.5530833601951599,0.8455474376678467,0.6956999897956848,-0.1426166296005249,73.20588700000371
ReLU,relu,0.0,80,256,0.3062836527824402,0.8925333619117737,0.3953433930873871,0.8626999855041504,0.02983337640762329,52.84979829999793
ReLU+Dropout,relu,0.3,80,256,0.367575466632843,0.8705999851226807,0.36641839146614075,0.8683000206947327,0.002299964427947998,58.627063800006
GELU,gelu,0.0,80,256,0.3326268196105957,0.8820000290870667,0.42481571435928345,0.8547999858856201,0.027200043201446533,55.966146099999605
Mish,mish,0.0,80,256,0.34088101983070374,0.8793500065803528,0.42031773924827576,0.8532999753952026,0.026050031185150146,58.71974929999851
ReLU+Drop0.1,relu,0.1,80,256,0.3296700119972229,0.881850004196167,0.36417776346206665,0.8676000237464905,0.014249980449676514,60.11932130000059
ReLU+Drop0.2,relu,0.2,80,256,0.34472736716270447,0.876966655254364,0.36310049891471863,0.8700000047683716,0.006966650485992432,60.701890500000445
ReLU+Drop0.4,relu,0.4,80,256,0.3939424753189087,0.861050009727478,0.3770327568054199,0.8641999959945679,-0.0031499862670898438,60.19604170000093
ReLU+Drop0.5,relu,0.5,80,256,0.4211800992488861,0.854533314704895,0.3848966360092163,0.8608999848365784,-0.00636667013168335,59.583188299999165
ReLU+Drop0.6,relu,0.6,80,256,0.4652225971221924,0.840149998664856,0.403956800699234,0.8546000123023987,-0.014450013637542725,60.20574659999693
Sigmoid,sigmoid,0.0,80,512,0.6667630672454834,0.7586666941642761,0.6802663803100586,0.7531999945640564,0.0054666996002197266,44.85117380000156
ReLU+Drop0.7,relu,0.7,80,256,0.530180037021637,0.8195499777793884,0.4344451129436493,0.8447999954223633,-0.025250017642974854,60.40242910000234
ReLU+Drop0.8,relu,0.8,80,256,0.6946431398391724,0.7526500225067139,0.5172106623649597,0.824999988079071,-0.07234996557235718,60.54386830000294
ReLU,relu,0.0,80,512,0.36019691824913025,0.8740500211715698,0.43728554248809814,0.8456000089645386,0.02845001220703125,44.14691610000591
ReLU+Drop0.9,relu,0.9,80,256,1.2332755327224731,0.4894166588783264,1.0065397024154663,0.6222000122070312,-0.13278335332870483,61.08543209999334
GELU,gelu,0.0,80,512,0.3805379569530487,0.8669499754905701,0.4597969353199005,0.8398000001907349,0.027149975299835205,48.26648820000264
ReLU+Dropout,relu,0.3,80,512,0.4344720244407654,0.8471999764442444,0.4179248511791229,0.850600004196167,-0.0034000277519226074,51.56960419999814
Mish,mish,0.0,80,512,0.381834477186203,0.8667666912078857,0.45334291458129883,0.8424999713897705,0.024266719818115234,51.118824199998926
ReLU+Drop0.1,relu,0.1,80,512,0.3881354033946991,0.863099992275238,0.40487173199653625,0.8551999926567078,0.007899999618530273,51.82508969999617
ReLU+Drop0.2,relu,0.2,80,512,0.4082376956939697,0.8551666736602783,0.40679237246513367,0.8528000116348267,0.00236666202545166,51.561017299995
ReLU+Drop0.4,relu,0.4,80,512,0.45489034056663513,0.8414166569709778,0.4213910698890686,0.8483999967575073,-0.006983339786529541,51.66353729999537
ReLU+Drop0.6,relu,0.6,80,512,0.5382254719734192,0.8157166838645935,0.44756072759628296,0.8381999731063843,-0.02248328924179077,51.87159570000222
