model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
Sigmoid,sigmoid,0.0,50,4096,2.05606746673584,0.5988666415214539,2.0536398887634277,0.5899999737739563,0.008866667747497559,23.98315009999351
Sigmoid,sigmoid,0.0,50,2048,1.6074957847595215,0.5681999921798706,1.6037412881851196,0.5672000050544739,0.0009999871253967285,24.307378500001505
Sigmoid,sigmoid,0.0,50,64,0.4335215389728546,0.8461999893188477,0.46922916173934937,0.8299000263214111,0.016299962997436523,68.98996430000261
Sigmoid,sigmoid,0.0,50,8192,2.1970276832580566,0.5422000288963318,2.196131944656372,0.5389999747276306,0.003200054168701172,23.463181500002975
Sigmoid,sigmoid,0.0,50,16384,2.251824378967285,0.37646666169166565,2.251554250717163,0.3828999996185303,-0.006433337926864624,22.199150699998427
Sigmoid,sigmoid,0.0,50,32,0.3745277225971222,0.8666999936103821,0.421296089887619,0.8485000133514404,0.01819998025894165,111.08201840000402
Sigmoid,sigmoid,0.0,60,256,0.5896692872047424,0.7854166626930237,0.6067171096801758,0.7768999934196472,0.008516669273376465,39.662711700002546
Sigmoid,sigmoid,0.0,60,512,0.7513824701309204,0.7389500141143799,0.7603331208229065,0.7337999939918518,0.005150020122528076,31.669445599996834
Sigmoid,sigmoid,0.0,60,128,0.48185470700263977,0.8301666378974915,0.5091410875320435,0.8172000050544739,0.012966632843017578,53.68444230000023
Sigmoid,sigmoid,0.0,60,1024,1.0450047254562378,0.6830999851226807,1.0470061302185059,0.6751999855041504,0.007899999618530273,32.73257129999547
Sigmoid,sigmoid,0.0,60,2048,1.4430921077728271,0.6272666454315186,1.4401979446411133,0.6304000020027161,-0.0031333565711975098,31.3105471999952
Sigmoid,sigmoid,0.0,60,4096,1.963188886642456,0.6047666668891907,1.9599103927612305,0.6025999784469604,0.0021666884422302246,30.375078299999586
Sigmoid,sigmoid,0.0,60,64,0.4170735776424408,0.8518666625022888,0.45395195484161377,0.8388000130653381,0.013066649436950684,87.31849130000046
Sigmoid,sigmoid,0.0,60,8192,2.1592442989349365,0.6298666596412659,2.1578495502471924,0.6255000233650208,0.004366636276245117,29.772439700005634
Sigmoid,sigmoid,0.0,60,16384,2.22835636138916,0.4986833333969116,2.228015661239624,0.49790000915527344,0.0007833242416381836,26.669999999998254
Sigmoid,sigmoid,0.0,70,256,0.5654303431510925,0.7945333123207092,0.5851398706436157,0.7860000133514404,0.008533298969268799,44.569121699998504
Sigmoid,sigmoid,0.0,60,32,0.3593062460422516,0.8708833456039429,0.40952593088150024,0.852400004863739,0.018483340740203857,135.888563600005
Sigmoid,sigmoid,0.0,70,512,0.699298083782196,0.7525500059127808,0.7114161849021912,0.7457000017166138,0.006850004196166992,35.12038300000131
Sigmoid,sigmoid,0.0,70,128,0.46821507811546326,0.8344166874885559,0.4965379536151886,0.8212000131607056,0.013216674327850342,60.721918000002916
Sigmoid,sigmoid,0.0,70,1024,0.9683945775032043,0.7013499736785889,0.9736244082450867,0.6947000026702881,0.006649971008300781,37.02640670000255
Sigmoid,sigmoid,0.0,70,2048,1.3868067264556885,0.670283317565918,1.3854392766952515,0.6653000116348267,0.004983305931091309,35.40676949999761
Sigmoid,sigmoid,0.0,70,4096,1.8777456283569336,0.5570833086967468,1.8740133047103882,0.5608999729156494,-0.003816664218902588,34.69081439999718
Sigmoid,sigmoid,0.0,70,64,0.40305396914482117,0.8568500280380249,0.4427543878555298,0.8413000106811523,0.015550017356872559,98.04074720000062
Sigmoid,sigmoid,0.0,70,8192,2.137789011001587,0.5730000138282776,2.1364498138427734,0.5763999819755554,-0.003399968147277832,34.02803730000596
